danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster
0.667,0.755,0.8181818181818182,0.737749255099702,0.069,0.0966,6.94e-05,0.0523,0.883,0.5072990672384887,Life in the Fast Lane,Eagles,0
0.635,0.6559999999999999,0.18181818181818182,0.6802658721063488,0.0291,0.389,0.0012699999999999999,0.0828,0.77,0.6226206244963366,P.s. I Love You,The Beatles,1
0.565,0.564,0.18181818181818182,0.6094888837955534,0.0292,0.161,0.0,0.114,0.45399999999999996,0.622250113469002,What's Up?,4 Non Blondes,2
0.516,0.319,0.6363636363636364,0.5331652532661012,0.0343,0.7390000000000001,0.000983,0.129,0.305,0.48955622041701014,Load Out/Stay,Jackson Browne,3
0.525,0.855,0.8181818181818182,0.7702498280999311,0.0372,0.0452,0.000295,0.135,0.516,0.5084522828110671,Free for All,Ted Nugent,4
0.501,0.8859999999999999,0.4545454545454546,0.8017419206967682,0.0885,0.0924,1.07e-05,0.599,0.797,0.5606433923989663,Dolly Dagger,Jimi Hendrix,5
0.5429999999999999,0.8290000000000001,0.36363636363636365,0.707036442814577,0.0497,0.00146,4.91e-05,0.289,0.64,0.584457988680888,No Easy Way Out,Robert Tepper,6
0.557,0.515,0.6363636363636364,0.5176713270685308,0.028999999999999998,0.00396,3.26e-06,0.309,0.523,0.5414231328559916,Simple Man,Junkyard,7
0.633,0.7979999999999999,0.09090909090909091,0.6429979371991749,0.0281,0.166,0.617,0.0812,0.963,0.6838012578849378,Lady Writer,Dire Straits,8
0.574,0.664,0.4545454545454546,0.5427458170983268,0.0346,0.0737,0.0,0.22,0.9359999999999999,0.5694569234616845,Jet Airliner,Steve Miller Band,9
0.5429999999999999,0.757,0.8181818181818182,0.8413476965390785,0.0497,0.00197,0.626,0.10300000000000001,0.21899999999999997,0.5912198149297418,Sin City,AC/DC,10
0.598,0.797,0.6363636363636364,0.7585147834059134,0.0332,0.0424,0.000407,0.0717,0.622,0.5722820700451098,Who'll Stop the Rain,Creedence Clearwater Revival,11
0.396,0.33799999999999997,0.0,0.5715333486133394,0.0304,0.198,2.62e-06,0.138,0.377,0.6183921673968823,Something,The Beatles,12
0.39399999999999996,0.682,0.8181818181818182,0.5211093284437313,0.111,0.0335,0.000231,0.307,0.361,0.4661306607137895,The Wizard,Black Sabbath,13
0.449,0.455,0.8181818181818182,0.5404996561998624,0.0436,0.42700000000000005,0.00256,0.0721,0.38799999999999996,0.6318695060161729,Madman Across The Water,Elton John,14
0.512,0.754,0.09090909090909091,0.7145083658033463,0.11,0.0523,0.0488,0.0881,0.662,0.5445956335275428,Cold Gin,Kiss,15
0.568,0.701,0.8181818181818182,0.5907403162961264,0.04,0.0006129999999999999,0.0025800000000000003,0.17,0.638,0.5589066219583361,Orange Crush,R.E.M.,16
