,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster_km,cluster_ag
0,0.425,0.681,0.09090909090909091,0.675498510199404,0.0316,0.0229,0.000219,0.0543,0.933,0.6067627525264221,Caught Up in You,.38 Special,28,0
1,0.418,0.775,0.36363636363636365,0.6302544121017648,0.0333,0.0531,0.00125,0.0932,0.845,0.5720875517557592,Fantasy Girl,.38 Special,17,29
2,0.567,0.559,0.8181818181818182,0.6034838413935364,0.0288,0.00888,0.00131,0.0764,0.898,0.5892375809335025,Hold On Loosely,.38 Special,42,26
3,0.659,0.505,0.0,0.4843914737565894,0.0302,0.053,0.0,0.0544,0.879,0.5941839031484174,Rockin' Into the Night,.38 Special,31,0
4,0.646,0.426,0.0,0.5826724730689892,0.048,0.0858,0.0727,0.0746,0.462,0.5779694143146935,Art For Arts Sake,10cc,4,3
5,0.545,0.865,1.0,0.8082512033004812,0.0286,0.00664,1.12e-05,0.168,0.543,0.458539816041275,Kryptonite,3 Doors Down,20,12
6,0.499,0.88,0.5454545454545454,0.7754297501719,0.0654,0.0108,2.76e-05,0.226,0.39,0.6849776303967248,Loser,3 Doors Down,24,25
7,0.53,0.768,0.6363636363636364,0.8126976850790739,0.0284,0.00385,0.0,0.103,0.374,0.6858853824136941,When I'm Gone,3 Doors Down,24,25
8,0.565,0.564,0.18181818181818182,0.6094888837955534,0.0292,0.161,0.0,0.114,0.454,0.622250113469002,What's Up?,4 Non Blondes,4,18
9,0.573,0.902,0.5454545454545454,0.7197799679119872,0.054,0.018,0.00125,0.0928,0.876,0.39094471049194607,Take On Me,a-ha,0,44
10,0.581,0.851,0.0,0.8114600045840017,0.0788,0.000139,0.335,0.23,0.687,0.5590409322057448,"Baby, Please Don't Go",AC/DC,48,40
11,0.31,0.7,0.8181818181818182,0.8096264038505614,0.047,0.011,0.00965,0.0828,0.763,0.8724886299428487,Back In Black,AC/DC,14,17
12,0.569,0.901,0.8181818181818182,0.831675452670181,0.0544,0.00559,0.26,0.16,0.839,0.6168684407969693,Big Gun,AC/DC,32,28
13,0.459,0.637,0.18181818181818182,0.8533577813431125,0.0267,0.0741,0.0165,0.0984,0.546,0.3937744884632129,CAN'T STOP ROCK'N'ROLL,AC/DC,48,18
14,0.668,0.906,1.0,0.8461608984643593,0.17,0.214,0.00229,0.135,0.507,0.6282616548875036,Dirty Deeds Done Dirt Cheap,AC/DC,20,41
15,0.371,0.917,0.36363636363636365,0.8075177630071051,0.102,0.000367,0.422,0.49,0.477,0.6185357404199743,For Those About To Rock,AC/DC,25,1
16,0.511,0.978,0.36363636363636365,0.8741691496676598,0.154,0.0514,0.000999,0.358,0.544,0.6381681934808585,Girls Got Rhythm,AC/DC,5,19
17,0.481,0.724,0.36363636363636365,0.8112766445106577,0.0324,0.0018,0.18,0.11,0.2,0.5388202928889672,Hard As A Rock,AC/DC,37,10
18,0.421,0.889,0.18181818181818182,0.8330964932385971,0.0545,0.00167,0.00838,0.654,0.424,0.5669930251299105,Have a Drink On Me,AC/DC,45,33
19,0.389,0.873,0.36363636363636365,0.8513408205363282,0.0475,0.00532,0.0055,0.273,0.303,0.49447938569271666,Hells Bells,AC/DC,37,4
20,0.573,0.913,0.5454545454545454,0.8501948200779279,0.132,0.0591,0.00173,0.156,0.422,0.535921044100075,Highway To Hell,AC/DC,24,25
21,0.456,0.863,0.2727272727272727,0.9071281228512491,0.0894,0.133,0.0545,0.0553,0.532,0.6297112792819497,It's A Long Way To The Top,AC/DC,5,4
22,0.572,0.835,0.8181818181818182,0.8154022461608984,0.0787,0.00953,0.0153,0.012,0.594,0.6093424355542383,Jailbreak,AC/DC,20,47
23,0.493,0.727,1.0,0.8037130414852165,0.0886,0.000208,0.613,0.0767,0.427,0.4220768995637233,Let There Be Rock,AC/DC,49,37
24,0.514,0.905,0.8181818181818182,0.8786156314462525,0.063,0.000676,0.0345,0.0815,0.68,0.504552654248372,Let's Get It Up,AC/DC,20,47
25,0.586,0.84,0.6363636363636364,0.8250744900297959,0.0487,0.0122,0.0109,0.0842,0.0784,0.6130243888883743,Live Wire,AC/DC,24,25
26,0.65,0.903,0.6363636363636364,0.9013522805409121,0.0314,0.000841,0.000351,0.122,0.409,0.5645476523495031,Moneytalks,AC/DC,24,12
27,0.25,0.73,0.5454545454545454,0.8406142562457024,0.0624,0.0237,0.0134,0.181,0.483,0.9132818940523717,Night Prowler,AC/DC,14,22
28,0.576,0.659,0.8181818181818182,0.8124226449690579,0.0383,0.041,0.0,0.0587,0.717,0.43930103094693357,Rock and Roll Ain't Noise Pollution,AC/DC,22,6
29,0.457,0.904,0.18181818181818182,0.8268164107265642,0.0747,0.000239,0.0879,0.396,0.48,0.6532016784149539,Shoot To Thrill,AC/DC,16,4
